eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Tai Lue;0.0053;0.0109;0.0052;0.1471;0.1263;
Semende;0.0053;0.002;0.0853;0.042;0.006;
Seletar;0.0053;0.0584;0.1889;0.3486;0.0967;
Abaknon;0.0053;0.062;0.2228;0.6344;0.2405;
Tay;0.0053;0.019;0.0239;0.0972;0.0907;
Bidayuh;0.0053;0.0019;0.0462;0;0.003;
Batak;0.0053;0.0441;0.3647;0.9742;0.4091;
Kalueng;0.0053;0.0231;0.0195;0.1046;0.0823;
Tompoun;0.0053;0.0395;0.0445;0.419;0.4827;
Kadazan-Dusun;0.0053;0.0512;0.249;0.6177;0.2288;
Lun;0.0053;0.0919;0.1372;1.3509;2.314;
Tengger;0.0053;11.4642;7.3286;0.0814;0.0902;
Manabo;0.0053;0.0631;0.2002;0.5256;0.1899;
Lisu;0.0053;0.3248;0.1176;0.2001;0.0509;
Dai;0.0053;0.0742;0.0213;0.4252;0.2423;
Sumbanese;0.0053;0.0785;0.1968;0.528;0.1851;
Non-Malaysian (Chinese, Bajau, Kadazan-Dusun);0.0053;0.0296;0.2034;0.3307;0.1027;
Tay Nung;0.0053;0.0204;0.0231;0.1041;0.0907;
Suay;0.0053;0.0311;0.0191;0.0623;0.0406;
Toraja;0.0053;0.1467;0.1914;0.7999;0.311;
Ivatan;0.0053;0.0075;0.1276;0.5523;0.1889;
Tetum, Mambai, Makasae;0.0053;0.0075;0.3297;0.6715;0.347;
Moken;0.0053;0.0693;0.0062;0.2268;0.0626;
Javanese;0.0053;0.023;0.1561;0.2957;0.0997;
Paluang;0.0053;0.0551;0.0042;0.1751;0.0995;
Besemah;0.0053;0.0205;0.1439;0.2339;0.0719;
Chinese;0.0053;0.3246;0.2284;1.5501;0.669;
Bali Aga, Balinese;0.0053;0.0377;0.1345;0.209;0.0524;
IuMien;0.0053;0.0332;0.012;0.1299;0.1072;
Arakanese (or Rakhine);0.0053;0.5242;0.3236;0.1192;1e-04;
The Kalanguya (or Ikalahan);0.0053;0.1497;0.3501;1.451;0.6242;
Southern Thai_TK;0.0053;0.032;0.0038;0.0215;0.0078;
Khamu;0.0053;0.0229;0.0136;0.0865;0.0674;
Banjar;0.0053;0.0104;0.109;0.1365;0.0411;
Bugis;0.0053;0.0574;0.2465;0.6056;0.2185;
Aini;0.0053;0.0149;0.0454;0.0147;0.0269;
Kinh;0.0053;0.0143;0.0235;0.0588;0.0586;
Han;0.0053;17.9013;32.2097;21.51;0.0273;
Maniq;0.0053;3e-04;0.0514;0.0025;6e-04;
Sumatrans;0.0053;11.4642;7.3286;0.0814;0.0902;
Semelai;0.0053;0.0356;0.1865;0.3019;0.1126;
Southern Thai_AN;0.0053;0.0051;0.0604;0.0124;3e-04;
Bugkalot (or Ilongot);0.0053;0.0563;0.1937;0.4796;0.1724;
Cebuano - Filipino;0.0053;0.0766;0.3058;0.8418;0.3207;
Taiwan;0.0053;0.0339;0.0252;0.1976;0.1674;
Karen;0.0053;0.1301;0.1379;0.2062;0.0032;
Kintaq;0.0053;11.4642;7.3286;0.0814;0.0902;
Mang;0.0053;0.0602;0.0062;0.2213;0.1598;
Khmer;0.0053;0.0416;0.0032;0.0936;0.0752;
Ede;0.0053;0.0154;0.0189;0.1429;0.1351;
Nyahkur;0.0053;0.0193;0.0144;0.0957;0.0638;
Cuyunin (or Cuyonon);0.0053;3e-04;0.3973;0.3987;0.1119;
Malay, Achehnese;0.0053;0.0274;0.1803;0.2903;0.0852;
Sasak;0.0053;0.1416;0.1826;0.756;0.2923;
Bumiputera;0.0053;0.0186;0.1189;0.1411;0.037;
Batak, Minangkabau, Acehnese, Lampung;0.0053;0.0471;0.2441;0.5488;0.1927;
Khon Mueang;0.0053;0.0251;0.0112;0.1451;0.0416;
