eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
F1a1a1;0.0014;0.006;0.0033;0.0209;0.0147;
N7a2;1e-04;3e-04;4e-04;0.0025;0.0033;
M12b1a2a;1e-04;0.0018;0.0027;0.0257;0.0432;
M74;2e-04;8e-04;4e-04;0.0037;0.0044;
B5a1a;4e-04;0.0019;0.0013;0.0073;0.0062;
M74b2;3e-04;7e-04;0.0012;0.0025;0.0017;
M17c1a1a;1e-04;6e-04;9e-04;0.0056;0.0075;
R22;4e-04;0.012;0.0026;0.0085;0.0012;
B4c1b2c2;2e-04;9e-04;5e-04;0.003;0.0022;
F1f;7e-04;0.0031;0.0015;0.0068;0.0051;
R22*;2e-04;0.0011;7e-04;0.004;0.003;
M46;1e-04;7e-04;2e-04;0.0024;0.0024;
M12b1b;2e-04;0.0013;8e-04;0.0057;0.0048;
R23;1e-04;7e-04;3e-04;0.0021;0.0013;
M26;1e-04;0;0.0013;5e-04;1e-04;
M9a4a2;2e-04;8e-04;7e-04;0.0032;0.0033;
Z3c;1e-04;4e-04;0;9e-04;8e-04;
N9a10+16311;4e-04;0.002;0.0011;0.0103;0.0086;
B4c2;1e-04;3e-04;0.001;3e-04;6e-04;
M7c1c2;3e-04;1e-04;0.0025;0;4e-04;
R9b1b;1e-04;0.0012;0;0.0037;0.0014;
B4h;2e-04;7e-04;7e-04;0.0033;0.0028;
F1a1a;8e-04;0.0022;0.001;0.0144;0.008;
C7*;2e-04;7e-04;4e-04;0.0027;0.0015;
B5a1d;3e-04;0.0015;0.0011;0.0049;0.0048;
N;1e-04;5e-04;1e-04;5e-04;2e-04;
B4c2b;1e-04;4e-04;0.003;0.0035;8e-04;
M73;2e-04;0.0018;0;0.0049;8e-04;
M12b1a2;1e-04;4e-04;2e-04;0.0015;0.0011;
B4b1a2;2e-04;0.0022;0.0111;0.0362;0.0151;
M23;1e-04;2e-04;2e-04;0.001;7e-04;
M24a;1e-04;0.0107;0.007;0;2e-04;
M7c1b2b;2e-04;1e-04;0.0027;0.0017;5e-04;
M20*;5e-04;0.0026;2e-04;0.0088;0.0062;
N9a6;5e-04;2e-04;0.0042;0.0026;0.0054;
M17a;2e-04;0;0.0016;0;0;
M51a2;2e-04;2e-04;0.0014;1e-04;3e-04;
B5a1b1;4e-04;0.0022;0.0023;0.0119;0.0128;
R9b2;2e-04;6e-04;3e-04;0.0037;0.0026;
F3a;1e-04;0;0.0013;3e-04;1e-04;
R9b1a1a;3e-04;0.6039;0.3814;0.0041;0.0045;
M21b2;1e-04;0.0012;1e-04;0.0034;9e-04;
M76*;2e-04;0.0014;1e-04;0.0043;4e-04;
F1+16189;1e-04;3e-04;3e-04;9e-04;7e-04;
F2;2e-04;6e-04;4e-04;0.0036;0.0035;
M74b;4e-04;5e-04;1e-04;0.0077;0.0033;
D4;4e-04;0.006;1e-04;0.0115;0.0036;
U2b1;1e-04;0.0023;7e-04;0.0037;3e-04;
M74a;2e-04;0.0014;2e-04;0.005;0.0033;
M13b1;1e-04;0;0.001;0;0;
M24b;1e-04;0.0012;3e-04;0.0066;0.0037;
M75;2e-04;0.001;2e-04;0.0037;0.0023;
M51a1a*2;1e-04;6e-04;4e-04;0.0041;0.0038;
M17c;2e-04;5e-04;9e-04;7e-04;4e-04;
B4c2c;1e-04;9e-04;6e-04;0.0075;0.0079;
N8*;2e-04;1e-04;3e-04;0.0039;4e-04;
M21b+210*;2e-04;2e-04;4e-04;0.0056;0.0058;
M7b1a1f;3e-04;7e-04;0.0066;0.0057;0.001;
M51a;2e-04;0.0452;0.0418;0;2e-04;
N22;1e-04;0;0.005;0.0047;0.0013;
B5a1c;1e-04;2e-04;2e-04;0.0011;9e-04;
M72;1e-04;0.02;0.0177;0.0038;0;
M51a1b;1e-04;2e-04;2e-04;0.0011;7e-04;
M68a1;1e-04;4e-04;8e-04;0.0045;0.0066;
M17c1a1;1e-04;4e-04;1e-04;0.0018;5e-04;
M73b;1e-04;0;0.0016;2e-04;0;
B4+16261;1e-04;3e-04;3e-04;0.001;0.001;
M13c*;2e-04;0.0043;8e-04;0.0095;1e-04;
M7b1a1;4e-04;0.0021;0.0023;0.0177;0.0204;
M59;1e-04;7e-04;8e-04;0.006;0.0066;
F1a1;2e-04;0.002;1e-04;0.0058;0.0039;
C7;2e-04;6e-04;3e-04;0.0037;0.0033;
M23'75;1e-04;4e-04;4e-04;0.002;0.0014;
N21+195;3e-04;0.0017;3e-04;0.0101;0.0042;
M21b;3e-04;9e-04;0.0015;2e-04;0;
M68a2;1e-04;4e-04;0;9e-04;8e-04;
F4a2;3e-04;0.0014;8e-04;0.007;0.0059;
M68a1a;2e-04;9e-04;0.001;0.0085;0.0092;
M7b1a1a2;1e-04;1e-04;0.0017;5e-04;0;
M69a;1e-04;0.0012;0.0014;0.0133;0.016;
N7b;1e-04;7e-04;6e-04;0.0057;0.0056;
W3b;1e-04;4e-04;0;9e-04;8e-04;
F1a1d;4e-04;9e-04;0.0012;0.0047;0.0043;
M1'20'51;1e-04;0.0508;0.0447;0.0119;1e-04;
B5a*;2e-04;6e-04;3e-04;0.0038;0.0033;
R9b;1e-04;8e-04;2e-04;0.0031;0.0028;
B6a;3e-04;0.0018;7e-04;0.008;0.0056;
M7b1a1e1;3e-04;7e-04;5e-04;0.004;0.0033;
M76a;1e-04;5e-04;2e-04;0.0037;0.0027;
N9a6*;1e-04;4e-04;0;9e-04;8e-04;
N9a6a;1e-04;2e-04;0.003;0.003;0.0011;
N7a1;1e-04;4e-04;0;9e-04;8e-04;
M12b1a2b;1e-04;0.0011;0.0016;0.0142;0.0234;
M68a2a;1e-04;8e-04;0.0012;0.0121;0.0203;
M3d1a*;1e-04;3e-04;2e-04;0.0017;0.0021;
M21b1;1e-04;3e-04;2e-04;0.0017;0.0021;
B5b;1e-04;4e-04;4e-04;0.0023;0.0026;
M71+151;2e-04;3e-04;4e-04;0.0057;0.005;
M51b*;1e-04;3e-04;5e-04;0.0022;0.0025;
M51b1a;1e-04;5e-04;5e-04;0.0038;0.0037;
M51b1b;1e-04;6e-04;9e-04;0.008;0.0105;
M12b2a*;1e-04;9e-04;0.0014;0.0113;0.0152;
M91b;1e-04;4e-04;9e-04;0.0049;0.007;
M91b*;1e-04;4e-04;8e-04;0.0045;0.0066;
R9c1a;2e-04;6e-04;0.0046;0.008;0.0026;
F3b1a;1e-04;6e-04;0.0012;0.0022;6e-04;
M7b1a1+(16192);6e-04;6e-04;0.003;0.0015;0.0017;
B4a1a1;3e-04;0.007;0.009;0.0359;0.0137;
B4a1a;6e-04;0.0122;0.0155;0.0622;0.0234;
E2a;3e-04;0.0075;0.0092;0.0346;0.0126;
E1a2+(16261);2e-04;0.0023;0.0043;0.0097;0.0028;
F3b1b;2e-04;0.0018;0.01;0.0271;0.0108;
E1a1a1;3e-04;0.0019;0.0093;0.0225;0.0079;
B4a2a;1e-04;1e-04;0.0011;0.0014;4e-04;
B5a1d*2;1e-04;2e-04;0.0014;0.0024;7e-04;
Y2a1;3e-04;0.0023;0.012;0.0261;0.009;
M69;1e-04;2e-04;0.0014;0.0024;7e-04;
N9a6a*3;1e-04;2e-04;0.0014;0.0024;7e-04;
M7c1c3b;2e-04;9e-04;0.006;0.0102;0.0032;
F1a4a1;4e-04;0.004;0.0116;0.0297;0.0105;
B4a1a5;1e-04;6e-04;0.004;0.0067;0.0021;
E1a1a1a;5e-04;0.0083;0.0133;0.045;0.0166;
M74b1;5e-04;6e-04;0.0021;5e-04;1e-04;
E1a1b;1e-04;1e-04;0.0017;0.0011;3e-04;
N10;1e-04;1e-04;0.0019;0.0014;3e-04;
M73*1;1e-04;1e-04;0.0011;0.0014;4e-04;
F1a3a;1e-04;0.001;0.007;0.0189;0.0077;
M7b1a2a1;1e-04;0.0018;0.007;0.0187;0.007;
Q1;1e-04;5e-04;0.0059;0.0142;0.0063;
B4b1a2i;1e-04;1e-04;0.0011;0.0014;4e-04;
B4a1a3;1e-04;1e-04;0.0011;0.0014;4e-04;
P1d1;1e-04;8e-04;0.0067;0.0178;0.0083;
H2a2a1;1e-04;1e-04;0.0011;0.0014;4e-04;
B5b1c;1e-04;0.001;0.0054;0.0143;0.0052;
M21a;2e-04;1e-04;0.0018;2e-04;2e-04;
M77;1e-04;3e-04;5e-04;0;0;
F3b1a+16093;1e-04;7e-04;0.0027;0.0071;0.003;
P1d;1e-04;1e-04;0.0046;0.0098;0.005;
F1a1a1*3;1e-04;1e-04;0.0017;0.0011;3e-04;
H2a;1;0;0;0;0;
M7b1a1a1*;1e-04;2e-04;0.0016;0.003;0.001;
M17c1a;1e-04;1e-04;0.0014;0.0011;3e-04;
H2a2a1d;1e-04;1e-04;0.0017;0.0011;3e-04;
B4a1a1q;1e-04;3e-04;0.0041;0.0109;0.0053;
F1a1a1*2;1e-04;1e-04;0.0017;0.0011;3e-04;
E1a1b*;1e-04;1e-04;0.0017;0.0011;3e-04;
E2a2;1e-04;1e-04;0.0017;0.0011;3e-04;
E1a1;1e-04;3e-04;0.0031;0.0032;9e-04;
M71a2;3e-04;0;0.0024;0;1e-04;
P;1e-04;3e-04;0.0041;0.0109;0.0053;
Q1a1;1e-04;3e-04;0.0041;0.0109;0.0053;
P4a;1e-04;3e-04;0.0041;0.0109;0.0053;
P2*1;1e-04;3e-04;0.0041;0.0109;0.0053;
D5b1c1a;1e-04;0.0051;0.0036;0.0233;0.0099;
M7c1a;2e-04;6e-04;6e-04;0;1e-04;
Q3a+61+62;1e-04;3e-04;0.0041;0.0109;0.0053;
Q3a1;1e-04;3e-04;0.0041;0.0109;0.0053;
Q1a;1e-04;3e-04;0.0041;0.0109;0.0053;
M73a;1e-04;2e-04;0.0051;0.0105;0.005;
Q1a1a;1e-04;3e-04;0.0041;0.0109;0.0053;
P1;1e-04;3e-04;0.0041;0.0109;0.0053;
Q1+@16223;1e-04;3e-04;0.0041;0.0109;0.0053;
Q1f;1e-04;3e-04;0.0041;0.0109;0.0053;
P4a1*;1e-04;3e-04;0.0041;0.0109;0.0053;
P4a1;1e-04;3e-04;0.0041;0.0109;0.0053;
P1+152;1e-04;1e-04;0.0034;0.0069;0.0036;
P3b;1e-04;3e-04;0.0041;0.0109;0.0053;
Q1d;1e-04;7e-04;0.0024;0.0066;0.0025;
Q3;1e-04;0;0.0046;0.007;0.0032;
P1d1*;1e-04;3e-04;0.0041;0.0109;0.0053;
R30a1*;1e-04;3e-04;0.0017;0.0029;9e-04;
P1d1a;1e-04;3e-04;0.0041;0.0109;0.0053;
B4a1a*1;2e-04;0;0.0039;0.0091;0.0039;
Q2a;1e-04;3e-04;0.0041;0.0109;0.0053;
Q3b;1e-04;3e-04;0.0041;0.0109;0.0053;
P2*1a;1e-04;3e-04;0.0041;0.0109;0.0053;
M28b1;1e-04;3e-04;0.0041;0.0109;0.0053;
P1d2a;1e-04;3e-04;0.0041;0.0109;0.0053;
Q2a3;1e-04;3e-04;0.0041;0.0109;0.0053;
M27b1;1e-04;3e-04;0.0041;0.0109;0.0053;
P2;1e-04;3e-04;0.0041;0.0109;0.0053;
B4a1a1s;1e-04;3e-04;0.0041;0.0109;0.0053;
B4a1a1a19;1e-04;3e-04;0.0041;0.0109;0.0053;
M28a6;1e-04;3e-04;0.0041;0.0109;0.0053;
M27a2a;1e-04;3e-04;0.0041;0.0109;0.0053;
M29a;1e-04;3e-04;0.0041;0.0109;0.0053;
B4a1a1a;1e-04;3e-04;0.0041;0.0109;0.0053;
R14;1e-04;3e-04;0.0041;0.0109;0.0053;
Q3a1*;1e-04;3e-04;0.0041;0.0109;0.0053;
M28a+204;1e-04;3e-04;0.0041;0.0109;0.0053;
P2*2;1e-04;3e-04;0.0041;0.0109;0.0053;
Q2a4;1e-04;3e-04;0.0041;0.0109;0.0053;
E1a1b4;1e-04;3e-04;0.0041;0.0109;0.0053;
M27c;1e-04;3e-04;0.0041;0.0109;0.0053;
B4a1a1a1c;1e-04;3e-04;0.0041;0.0109;0.0053;
E1a2a1;1e-04;3e-04;0.0041;0.0109;0.0053;
M7c3;1e-04;4e-04;0.0019;0.0043;0.0016;
M60a;1e-04;1e-04;0.0011;0.0014;4e-04;
E2b;1e-04;2e-04;0.0015;0.0034;0.001;
M50*;1e-04;0;0.0019;7e-04;1e-04;
M51a1a*1;1e-04;0;9e-04;4e-04;1e-04;
B4a2a*1;1e-04;0;9e-04;4e-04;1e-04;
F1e3;3e-04;5e-04;0.0015;0.0018;0.0022;
B4a1a*2;1e-04;0;9e-04;4e-04;1e-04;
N21a;2e-04;2e-04;0.0024;0.0016;6e-04;
E1a1b2;1e-04;0.0028;0.0036;0.0149;0.0058;
B4a1a3a1;1e-04;0.0013;0.0041;0.0096;0.0033;
M7b1a1b;4e-04;9e-04;0.0016;0.0042;0.004;
M7b1a1d1;2e-04;0.0011;7e-04;0.0064;0.005;
M7b1a1a3;6e-04;0.0023;0.0016;0.0113;0.0087;
F3a1*1;1e-04;7e-04;2e-04;0.0043;0.0034;
D4a;1e-04;0.0011;2e-04;0.0045;0.0033;
B5a1c1a;1e-04;5e-04;2e-04;0.0028;0.0023;
C7a2;1e-04;0.0022;0.001;0.0593;0.1817;
M12a1a;2e-04;0.0013;3e-04;0.0058;0.0034;
N9a11;1e-04;3e-04;2e-04;0.0017;0.0021;
F1f*;1e-04;3e-04;3e-04;0.0028;0.0026;
M33c;1e-04;3e-04;2e-04;0.0017;0.0021;
R9b1a3*;2e-04;5e-04;3e-04;0.0037;0.0033;
B4e;2e-04;0.0017;1e-04;0.0036;0.0025;
D5b3;3e-04;0.0012;0.001;0.0056;0.0051;
R9b1;2e-04;0.0038;1e-04;0.011;2e-04;
M12b1a;1e-04;5e-04;3e-04;0.0026;0.0022;
M72a;2e-04;0.001;0.001;0.0023;0.0015;
B4c1b2c;2e-04;9e-04;5e-04;0.0036;0.003;
M20;2e-04;6e-04;3e-04;0.0025;0.001;
R9b1a1a*;1e-04;4e-04;0.0019;0.003;0.0011;
M21b1a*;1e-04;5e-04;0.0024;0.0041;0.0015;
M22a;1e-04;0;7e-04;0;0;
N22a;1e-04;0;6e-04;1e-04;1e-04;
N9a6a*1;1e-04;0;5e-04;0;0;
B4a;1e-04;0;5e-04;0;0;
B5b2a2a2;1e-04;0;0.0015;7e-04;1e-04;
B4b1a2h*;2e-04;0;0.0016;0;1e-04;
M3c1a;1e-04;5e-04;2e-04;4e-04;1e-04;
R21*;1e-04;0;5e-04;0;0;
R21;1e-04;0;8e-04;0;0;
M7b1a1i;1e-04;9e-04;0.0045;0.009;0.003;
M13'46'61;1e-04;1e-04;0.0054;0.0054;0.0013;
R7;1e-04;3e-04;0.002;0.0033;0.001;
F3a*;1e-04;0.001;2e-04;5e-04;1e-04;
N9a6b;1e-04;6e-04;0.0019;0.0035;0.001;
G1c;1e-04;0;0.001;0;0;
B6a1a;1e-04;9e-04;7e-04;0.0028;0;
B4b1a2a;2e-04;5e-04;0.001;0.0026;0.0022;
M45;1e-04;0.0799;0.0808;0.0245;0.0012;
M49;1e-04;0.0215;0.0168;0.0043;0;
M38;1e-04;0.0074;0.003;0.004;2e-04;
M58;1e-04;0.0035;0.0015;0.0074;0.0021;
M3c;1e-04;0.0198;0.0177;0.0036;0;
M33a1;1e-04;0.0198;0.0177;0.0036;0;
M55;1e-04;0.0656;0.0663;0.0042;0;
M33b;1e-04;0.0198;0.0177;0.0036;0;
M33b1;1e-04;0.0274;0.0332;0.0031;0;
HV12b1;1e-04;0.0274;0.0332;0.0031;0;
M54;1e-04;0.1913;0.3401;0.2197;3e-04;
M;3e-04;0.0301;0.0252;1e-04;0;
R;1e-04;0.0245;0.0272;0.0056;2e-04;
M91a;1e-04;0.0047;0.0081;0.2843;0.5831;
M4''67;1e-04;0.0031;0.0014;0.0064;0.0022;
M13c;1e-04;1e-04;0.0028;0.0077;0.0013;
M33a3a*;1e-04;0.0037;0.0015;0.0078;0.002;
M50;1e-04;0.0012;0;0.0016;0;
M3c+152;1e-04;0.0031;0.0014;0.0064;0.0022;
M46a;1e-04;0.0019;1e-04;0.0061;9e-04;
R+16189;3e-04;0.0038;0;0.0134;0.0018;
M5a2a1a2;1e-04;0.0031;0.0014;0.0064;0.0022;
M54*;1e-04;0.0031;0.0014;0.0064;0.0022;
M60a1;1e-04;0.0031;0.0014;0.0064;0.0022;
M35b4;1e-04;0.0069;0.0041;0.0026;1e-04;
M49a;1e-04;0.0069;0.0041;0.0026;1e-04;
M4a;1e-04;0.0039;0.0012;0.0085;0.001;
M7b;1e-04;0.0057;0.0029;0.0019;0;
M2c;1e-04;0.0054;0.0032;0.0014;0;
M30c1;1e-04;0.0053;0.0033;0.0012;0;
M38a;1e-04;0.0053;0.0033;0.0012;0;
M3d;1e-04;0.0031;0.0014;0.0064;0.0022;
M49e;1e-04;0.0393;0.0378;0.0114;6e-04;
R6a1*;1e-04;0.0031;0.0014;0.0064;0.0022;
G2b1a1;1e-04;0.0011;0.0013;0.0026;0;
M49e1;1e-04;0.0031;0.0014;0.0064;0.0022;
R6b;1e-04;0.0031;0.0014;0.0064;0.0022;
D4a5;1e-04;1e-04;1e-04;9e-04;7e-04;
M50a2;1e-04;1e-04;0.0013;0.0032;0.0039;
M49e1*;1e-04;0.004;0.0015;0.0086;0.0016;
M10a1;1e-04;0.004;0.0015;0.0086;0.0016;
M49c1;1e-04;0.0053;0.0033;0.0012;0;
M43+16311;1e-04;0.001;1e-04;0.0023;0;
M18c;1e-04;0.0013;0.0014;0.0021;0;
M65a+@16311;1e-04;0.0053;0.0033;0.0012;0;
M61*;1e-04;0.0012;1e-04;0.005;0.0018;
M34a1a;1e-04;0.0031;0.0014;0.0064;0.0022;
N8;1e-04;2e-04;0;0.0011;3e-04;
G2a1;2e-04;0.0024;0;0.0078;8e-04;
M12a2*;1e-04;0.0031;0.0014;0.0064;0.0022;
M10a;1e-04;0.0013;0.0014;0.0021;0;
M68;1e-04;0.0031;0.0014;0.0064;0.0022;
R9c1b1*;2e-04;0.0022;1e-04;0.0075;2e-04;
M9a1b+150;1e-04;0.0274;0.0332;0.0031;0;
U7a3b;1e-04;1e-04;0.0017;0.0011;3e-04;
D5a2a1+@16172;1e-04;0.0031;0.0014;0.0064;0.0022;
M31b1;1e-04;0.0031;0.0014;0.0064;0.0022;
D6a2;2e-04;0.0023;0.0082;0.0218;0.0081;
E1a1a1c;1e-04;6e-04;0.0022;0.0064;0.0024;
M17c1;1e-04;6e-04;0.0022;0.0064;0.0024;
R24a;1e-04;9e-04;0.0039;0.0091;0.0033;
B5b1c1a;2e-04;0.005;0.0123;0.0473;0.0199;
M17c1a1*;1e-04;9e-04;0.004;0.009;0.0034;
P9a*;1e-04;4e-04;0.0029;0.0122;0.0054;
P9*;1e-04;4e-04;0.0029;0.0122;0.0054;
M52a1b1;1e-04;4e-04;0.0029;0.0122;0.0054;
B5;1e-04;4e-04;0.0029;0.0122;0.0054;
M7c1c;1e-04;4e-04;0.0029;0.0122;0.0054;
F1a3a2;1e-04;1e-04;0.0013;0.0056;0.0019;
B4c1b2a2b;1e-04;1e-04;0.0013;0.0056;0.0019;
M7c1c1a1;1e-04;1e-04;0.0013;0.0056;0.0019;
F1a3a3;1e-04;1e-04;0.0013;0.0056;0.0019;
B4a2a1*;1e-04;1e-04;0.0013;0.0056;0.0019;
N9a10a2;1e-04;1e-04;0.0013;0.0056;0.0019;
M80;1e-04;4e-04;0.0037;0.0098;0.0041;
R9c1a3;1e-04;4e-04;0.0037;0.0098;0.0041;
M19;1e-04;2e-04;0.0039;0.008;0.0032;
M7c1c3*4;1e-04;6e-04;0.002;0.0048;0.0017;
P10;1e-04;0.0015;0.0053;0.0136;0.0053;
R9c1b2;2e-04;0.0011;0.0078;0.0203;0.0087;
M21b1a;1e-04;0;0.004;0.004;0.0011;
P9a;1e-04;4e-04;0.0018;0.0035;0.0012;
E2a1;1e-04;4e-04;0.0018;0.0035;0.0012;
B5b1c1;2e-04;0.0045;0.0108;0.0423;0.0179;
M7c1c3*3;1e-04;0.0014;0.0028;0.0115;0.0048;
M7c1c3i;2e-04;0.0031;0.0089;0.0314;0.0129;
M7c1c3h;1e-04;0.0024;0.0054;0.0222;0.0095;
F3b1b1;2e-04;0.0036;0.0082;0.0323;0.0135;
M7c1c3g;1e-04;0.0024;0.0054;0.0222;0.0095;
B4a1a6;2e-04;0.0038;0.0093;0.0363;0.0154;
B4a1a6a;1e-04;0.0029;0.0064;0.0262;0.0111;
B4a1a5a;2e-04;0.0039;0.0107;0.0432;0.0178;
Y2a1a;1e-04;0.0022;0.0052;0.0202;0.0085;
M32'56;1e-04;0.0012;0.0029;0.0105;0.0045;
H27e;1e-04;0.0013;0.0028;0.0112;0.0047;
B4m;1e-04;2e-04;0.0027;0.0031;8e-04;
B4a1a3a1*;1e-04;1e-04;0.0013;0.0056;0.0019;
B4'5;1e-04;1e-04;0.0013;0.0056;0.0019;
B4a1a4;1e-04;1e-04;0.0013;0.0056;0.0019;
B4c1b2a2a;1e-04;1e-04;0.0013;0.0056;0.0019;
B5a2a2b1;1e-04;1e-04;0.0013;0.0056;0.0019;
M7c1c3f;1e-04;0.0021;0.0049;0.0201;0.0086;
B5b1c1*;1e-04;0.0015;0.0035;0.0146;0.0063;
N11b*;1e-04;7e-04;0.0021;0.0065;0.0025;
B4b1a2c;1e-04;7e-04;0.0021;0.0065;0.0025;
R24;1e-04;7e-04;0.0021;0.0065;0.0025;
M7c1c3d;1e-04;0.0013;0.004;0.0116;0.0044;
R9b1a1;1e-04;7e-04;0.0021;0.0065;0.0025;
E2a1a;1e-04;9e-04;0.0035;0.0083;0.003;
E2b*;1e-04;6e-04;0.002;0.0053;0.0019;
B4c1b2a2*2;1e-04;6e-04;0.002;0.0053;0.0019;
B4c1b2a2*3;1e-04;6e-04;0.002;0.0053;0.0019;
N11b;1e-04;6e-04;0.002;0.0053;0.0019;
F1a4a1*1;1e-04;6e-04;0.002;0.0053;0.0019;
B4b1a2b1;1e-04;0.0015;0.0048;0.0134;0.0052;
M7c1c3a;1e-04;6e-04;0.002;0.0053;0.0019;
B4c1b2a2*1;1e-04;0.0012;0.0038;0.0104;0.0038;
D6c1a;1e-04;6e-04;0.0022;0.0063;0.0027;
M7b1a2a1*1;1e-04;6e-04;0.0022;0.0063;0.0027;
D6c1;1e-04;0.001;0.004;0.0099;0.0039;
Z4;1e-04;2e-04;0.002;0.0022;6e-04;
M7a1a6;1e-04;4e-04;0.0018;0.0035;0.0012;
B6a1;2e-04;0;0.0018;0;1e-04;
B4b1a2d;1e-04;6e-04;0.0019;0.0054;0.002;
B4b1a2b2*;1e-04;6e-04;0.0019;0.0054;0.002;
CZ;1e-04;3e-04;1e-04;0.002;0.0019;
F1g1;1e-04;7e-04;3e-04;0.0039;0.0035;
D4e1a3;2e-04;0.0014;4e-04;0.0062;0.0051;
B5a1c*;2e-04;0.0012;4e-04;0.0056;0.0044;
B4a5*;1e-04;3e-04;1e-04;0.002;0.0019;
B4g2*;1e-04;4e-04;1e-04;0.0031;0.0029;
B5a1c1a1;2e-04;0.0012;4e-04;0.0061;0.0048;
F1a1'4;1e-04;3e-04;1e-04;0.0015;4e-04;
B4g1a;3e-04;0.0013;6e-04;0.0055;0.0046;
A13;1e-04;3e-04;1e-04;0.0015;4e-04;
F3a1*2;4e-04;0.0019;0.0013;0.0092;0.0071;
F1a1a*2;1e-04;3e-04;1e-04;0.0015;4e-04;
R9b1a2b*2;1e-04;6e-04;3e-04;0.0029;0.002;
M12a1b*;1e-04;9e-04;0;0.0028;0.0012;
C7a1;2e-04;2e-04;8e-04;0.0064;4e-04;
M74a*;2e-04;0.0011;4e-04;0.0065;0.0051;
D4j1b;1e-04;9e-04;0;0.0028;0.0012;
M9a5;2e-04;8e-04;6e-04;0.0037;0.0029;
B4a1c4;1e-04;6e-04;5e-04;0.0036;0.003;
R6a2;2e-04;8e-04;0;0.0015;8e-04;
M9a1b1;1e-04;0.0012;0;0.0038;3e-04;
B4a1e;1e-04;4e-04;0;6e-04;6e-04;
R9c1b1;2e-04;8e-04;4e-04;0.0019;0.0013;
Z3a1a;1e-04;3e-04;2e-04;0.0017;0.0011;
N9a;2e-04;6e-04;2e-04;0.0038;0.0024;
R9b1a3;1e-04;8e-04;2e-04;0.0037;0.0021;
M71a;1e-04;7e-04;1e-04;0.0032;0.0011;
F4b;1e-04;4e-04;1e-04;0.002;0.0012;
B4b1a2a*;2e-04;0.0011;7e-04;0.0058;0.0044;
F2d;1e-04;4e-04;3e-04;0.0019;0.0013;
C4d;1e-04;3e-04;1e-04;0.0015;4e-04;
M71b;1e-04;6e-04;2e-04;0.0026;0.0017;
M8a2a1;1e-04;3e-04;1e-04;0.0015;4e-04;
F2e;2e-04;7e-04;5e-04;0.003;0.0023;
M5b;1e-04;6e-04;1e-04;0.0022;0.0011;
N9a10;1e-04;4e-04;3e-04;0.0021;0.0013;
B4c1b;1e-04;4e-04;4e-04;0.0017;0.001;
C4a2b2;1e-04;3e-04;1e-04;0.0015;4e-04;
N9a1;1e-04;5e-04;5e-04;0.0025;0.002;
D4g2a1b;1e-04;6e-04;2e-04;0.0024;0.0021;
N10a;3e-04;9e-04;5e-04;0.0046;0.0029;
N10b;1e-04;3e-04;1e-04;0.0015;4e-04;
F1a2;2e-04;0.001;4e-04;0.0036;0.0026;
M10a1a;1e-04;3e-04;1e-04;0.0015;4e-04;
C7a;8e-04;0.0043;0.0018;0.019;0.0136;
A+152;1e-04;3e-04;1e-04;0.0015;4e-04;
D4h;1e-04;4e-04;2e-04;0.0019;0.0013;
F2b1;1e-04;2e-04;1e-04;0.002;0.0016;
B4c1b2a;1e-04;3e-04;2e-04;0.0027;0.0022;
F1c1a2;1e-04;8e-04;1e-04;0.0036;0.0017;
F1a3;2e-04;0.001;3e-04;0.0039;0.0027;
D4e3;1e-04;7e-04;2e-04;0.0023;0.002;
M7b2a;1e-04;3e-04;2e-04;0.0014;0.0011;
F1;1e-04;6e-04;0;7e-04;5e-04;
M79;1e-04;7e-04;6e-04;0.0041;0.0045;
R11b1;1e-04;5e-04;1e-04;5e-04;3e-04;
R11'B6;2e-04;9e-04;1e-04;0.0023;0.0014;
M7c1a3;1e-04;3e-04;0;2e-04;1e-04;
M12a2;1e-04;6e-04;1e-04;9e-04;3e-04;
G;1e-04;5e-04;3e-04;0.0017;0.0013;
M17;1e-04;3e-04;0;2e-04;1e-04;
H13a2a;1e-04;2e-04;0;0.0012;2e-04;
M73a1;2e-04;4e-04;1e-04;0.001;8e-04;
U2a2;1e-04;2e-04;0;0.0012;2e-04;
M7c2a;3e-04;8e-04;5e-04;0.0031;0.0029;
M12;1e-04;2e-04;0;0.0012;2e-04;
A14;1e-04;4e-04;2e-04;0.002;0.0014;
G2a1d2;1e-04;2e-04;0;0.0012;2e-04;
U1a1c1d;1e-04;2e-04;0;0.0012;2e-04;
M7b1a1a;2e-04;0.001;3e-04;0.0041;0.0021;
M7b1a1g;1e-04;2e-04;0;0.0012;2e-04;
D4e1a2;1e-04;2e-04;0;0.0012;2e-04;
C4a2b;1e-04;4e-04;2e-04;0.0017;0.0011;
M2a1a;1e-04;2e-04;0;0.0012;2e-04;
D5b4;1e-04;5e-04;4e-04;0.0024;0.002;
D4e1a;2e-04;0.0026;0;0.0078;0.0013;
M50a1;1e-04;0.0013;2e-04;0.0044;0.0013;
F1b1+@152;1e-04;2e-04;0;0.0012;2e-04;
B4b1c1;2e-04;6e-04;6e-04;0.003;0.0025;
F3b;1e-04;2e-04;0;0.0012;2e-04;
U1a1c1a;1e-04;2e-04;0;0.0012;2e-04;
F1d1;1e-04;0.0011;0;0.0035;2e-04;
B4a1c2;1e-04;5e-04;2e-04;0.0024;0.0015;
F1a4a;1e-04;0;1e-04;0.0019;0.0015;
